model,logN,num_cores,cut_position,forward_time_total,backprop_time_total
mnistfc,,1,0,0.000425,0.0023649999999999995
mnistfc,,1,1,4.1e-05,0.00013099999999999999
mnistfc,,1,2,3.2e-05,0.000128
mnistfc,,1,3,8e-06,1.4999999999999999e-05
mnistfc,,1,4,0.0,0.0
mnistfc,,2,0,0.00043000000000000004,0.002276
mnistfc,,2,1,4.1e-05,0.00011700000000000001
mnistfc,,2,2,3.4e-05,0.00011300000000000001
mnistfc,,2,3,1e-05,9.999999999999999e-06
mnistfc,,2,4,0.0,0.0
mnistfc,,4,0,0.0004535,0.0024714999999999997
mnistfc,,4,1,4.35e-05,0.0001245
mnistfc,,4,2,3.6e-05,0.00011899999999999999
mnistfc,,4,3,1.1e-05,1.2e-05
mnistfc,,4,4,0.0,0.0
mnistfc,,8,0,0.00044000000000000007,0.0024529999999999995
mnistfc,,8,1,4.2000000000000004e-05,0.00010400000000000001
